"date","comp_abb","home_team","home_score","away_score","away_team","comp_name","comp_stage"
2021-09-08,"WQE","Albania",5,0,"San Marino","WC Qualification Europe","1st-round"
2019-03-22,"ECQ","Albania",0,2,"Turkey","EC Qualification","qualifying-round"
2019-09-09,"FRI","Algeria",1,0,"Benin","Friendlies","friendlies-1"
2021-03-29,"ACO","Algeria",5,0,"Botswana","Africa Cup of Nations Qualification","group-stage"
2021-11-16,"WQA","Algeria",2,2,"Burkina Faso","WC Qualification Africa","2nd-round"
2019-06-11,"FRI","Algeria",1,1,"Burundi","Friendlies","friendlies-2"
2022-03-29,"WQA","Algeria",1,2,"Cameroon","WC Qualification Africa","3rd-round"
2019-10-15,"FRI","Algeria",3,0,"Colombia","Friendlies","friendlies-1"
2019-10-10,"FRI","Algeria",1,1,"Congo DR","Friendlies","friendlies-2"
2021-09-02,"WQA","Algeria",8,0,"Djibouti","WC Qualification Africa","2nd-round"
2021-12-07,"ARC","Algeria",1,1,"Egypt","Arab Cup","group-stage"
2022-01-16,"ACO","Algeria",0,1,"Equatorial Guinea","Africa Cup of Nations","group-stage"
2019-03-22,"ACO","Algeria",1,1,"Gambia","Africa Cup of Nations Qualification","group-stage"
2022-01-05,"FRI","Algeria",3,0,"Ghana","Friendlies","friendlies-1"
2019-07-07,"ACO","Algeria",3,0,"Guinea","Africa Cup of Nations","8th-finals"
2022-09-23,"FRI","Algeria",1,0,"Guinea","Friendlies","friendlies-1"
2019-06-23,"ACO","Algeria",2,0,"Kenya","Africa Cup of Nations","group-stage"
2021-06-17,"FRI","Algeria",5,1,"Liberia","Friendlies","friendlies-1"
2021-06-06,"FRI","Algeria",1,0,"Mali","Friendlies","friendlies-1"
2019-06-16,"NOF","Algeria",3,2,"Mali","Non-FIFA Friendlies","friendlies-3"
2021-06-03,"FRI","Algeria",4,1,"Mauritania","Friendlies","friendlies-1"
2019-09-21,"ANC","Algeria",0,0,"Morocco","African Nations Championship","1st-round"
2021-10-08,"WQA","Algeria",6,1,"Niger","WC Qualification Africa","2nd-round"
2019-07-14,"ACO","Algeria",2,1,"Nigeria","Africa Cup of Nations","semi-finals"
2022-09-27,"FRI","Algeria",2,1,"Nigeria","Friendlies","friendlies-1"
2022-01-11,"ACO","Algeria",0,0,"Sierra Leone","Africa Cup of Nations","group-stage"
2021-12-01,"ARC","Algeria",4,0,"Sudan","Arab Cup","group-stage"
2019-03-26,"FRI","Algeria",1,0,"Tunisia","Friendlies","friendlies-1"
2022-06-04,"ACO","Algeria",2,0,"Uganda","Africa Cup of Nations Qualification","group-stage"
2019-11-14,"ACO","Algeria",5,0,"Zambia","Africa Cup of Nations Qualification","group-stage"
2020-11-12,"ACO","Algeria",3,1,"Zimbabwe","Africa Cup of Nations Qualification","group-stage"
2019-07-09,"PAG","American Samoa",0,9,"Fiji","Pacific Games","group-stage"
2019-07-07,"PAG","American Samoa",0,5,"New Caledonia","Pacific Games","group-stage"
2019-07-11,"PAG","American Samoa",1,1,"Tuvalu","Pacific Games","group-stage"
2019-03-25,"ECQ","Andorra",0,3,"Albania","EC Qualification","qualifying-round"
2021-03-25,"WQE","Andorra",0,1,"Albania","WC Qualification Europe","1st-round"
2020-10-07,"FRI","Andorra",1,2,"Cabo Verde","Friendlies","friendlies-2"
2021-10-09,"WQE","Andorra",0,5,"England","WC Qualification Europe","1st-round"
2020-09-06,"UNL","Andorra",0,1,"Faroe Islands","UEFA Nations League","league-d"
2019-06-11,"ECQ","Andorra",0,4,"France","EC Qualification","qualifying-round"
2021-06-07,"FRI","Andorra",0,0,"Gibraltar","Friendlies","friendlies-2"
2022-03-28,"FRI","Andorra",1,0,"Grenada","Friendlies","friendlies-2"
2021-03-31,"WQE","Andorra",1,4,"Hungary","WC Qualification Europe","1st-round"
2019-03-22,"ECQ","Andorra",0,2,"Iceland","EC Qualification","qualifying-round"
2020-11-17,"UNL","Andorra",0,5,"Latvia","UEFA Nations League","league-d"
2022-09-25,"UNL","Andorra",1,1,"Latvia","UEFA Nations League","league-d"
2022-06-10,"UNL","Andorra",2,1,"Liechtenstein","UEFA Nations League","league-d"
2020-10-10,"UNL","Andorra",0,0,"Malta","UEFA Nations League","league-d"
2019-10-11,"ECQ","Andorra",1,0,"Moldova","EC Qualification","qualifying-round"
2022-06-06,"UNL","Andorra",0,0,"Moldova","UEFA Nations League","league-d"
2021-11-12,"WQE","Andorra",1,4,"Poland","WC Qualification Europe","1st-round"
2021-06-03,"FRI","Andorra",1,4,"Republic of Ireland","Friendlies","friendlies-1"
2021-09-02,"WQE","Andorra",2,0,"San Marino","WC Qualification Europe","1st-round"
2022-03-25,"FRI","Andorra",1,0,"St. Kitts and Nevis","Friendlies","friendlies-2"
2019-11-17,"ECQ","Andorra",0,2,"Turkey","EC Qualification","qualifying-round"
2022-06-01,"ACO","Angola",2,1,"Central African Republic","Africa Cup of Nations Qualification","group-stage"
2022-07-05,"COC","Angola",3,1,"Comoros","COSAFA Cup","group-stage"
2020-11-17,"ACO","Angola",0,1,"Congo DR","Africa Cup of Nations Qualification","group-stage"
2021-11-12,"WQA","Angola",2,2,"Egypt","WC Qualification Africa","2nd-round"
2019-08-03,"ANC","Angola",1,1,"Eswatini","African Nations Championship","2nd-round"
2021-03-29,"ACO","Angola",2,0,"Gabon","Africa Cup of Nations Qualification","group-stage"
2021-10-08,"WQA","Angola",3,1,"Gabon","WC Qualification Africa","2nd-round"
2019-11-13,"ACO","Angola",1,3,"Gambia","Africa Cup of Nations Qualification","group-stage"
2019-09-10,"WQA","Angola",2,1,"Gambia","WC Qualification Africa","1st-round"
2019-06-08,"FRI","Angola",2,0,"Guinea-Bissau","Friendlies","friendlies-3"
2021-09-07,"WQA","Angola",0,1,"Libya","WC Qualification Africa","2nd-round"
2019-07-02,"ACO","Angola",0,1,"Mali","Africa Cup of Nations","group-stage"
2022-07-30,"ANC","Angola",1,0,"Mauritius","African Nations Championship Qualification","1st-round"
2022-07-07,"COC","Angola",3,0,"Seychelles","COSAFA Cup","group-stage"
2022-08-28,"ANC","Angola",2,0,"South Africa","African Nations Championship Qualification","2nd-round"
2022-06-02,"CNL","Anguilla",0,0,"Dominica","Concacaf Nations League","league-c"
2021-03-27,"WQC","Anguilla",0,6,"Dominican Republic","WC Qualification Concacaf","4th-round"
2019-10-13,"CNL","Anguilla",0,5,"Guatemala","Concacaf Nations League","league-c"
2021-06-06,"WQC","Anguilla",0,13,"Panama","WC Qualification Concacaf","4th-round"
2019-10-16,"CNL","Anguilla",2,3,"Puerto Rico","Concacaf Nations League","league-c"
2019-03-22,"CNL","Anguilla",0,3,"US Virgin Islands","Concacaf Nations League Qualification","regular-season"
2019-09-09,"CNL","Antigua and Barbuda",2,1,"Aruba","Concacaf Nations League","league-b"
2022-06-10,"CNL","Antigua and Barbuda",0,2,"Cuba","Concacaf Nations League","league-b"
2019-03-23,"CNL","Antigua and Barbuda",2,1,"Curaçao","Concacaf Nations League Qualification","regular-season"
2021-06-04,"WQC","Antigua and Barbuda",1,0,"Grenada","WC Qualification Concacaf","4th-round"
2022-06-06,"CNL","Antigua and Barbuda",1,0,"Guadeloupe","Concacaf Nations League","league-b"
2019-10-11,"CNL","Antigua and Barbuda",2,1,"Guyana","Concacaf Nations League","league-b"
2019-11-16,"CNL","Antigua and Barbuda",0,2,"Jamaica","Concacaf Nations League","league-b"
2021-03-24,"WQC","Antigua and Barbuda",2,2,"Montserrat","WC Qualification Concacaf","4th-round"
2021-09-10,"WQS","Argentina",3,0,"Bolivia","WC Qualification South America","1st-round"
2021-07-11,"COA","Argentina",1,0,"Brazil","Copa America","final"
2021-11-17,"WQS","Argentina",0,0,"Brazil","WC Qualification South America","1st-round"
2019-07-06,"COA","Argentina",2,1,"Chile","Copa America","3rd-place-final"
2021-06-14,"COA","Argentina",1,1,"Chile","Copa America","group-stage"
2021-06-04,"WQS","Argentina",1,1,"Chile","WC Qualification South America","1st-round"
2019-06-16,"COA","Argentina",0,2,"Colombia","Copa America","group-stage"
2021-07-07,"COA","Argentina",1,1,"Colombia","Copa America","semi-finals"
2022-02-02,"WQS","Argentina",1,0,"Colombia","WC Qualification South America","1st-round"
2021-07-04,"COA","Argentina",3,0,"Ecuador","Copa America","quarter-finals"
2020-10-09,"WQS","Argentina",1,0,"Ecuador","WC Qualification South America","1st-round"
2022-06-05,"FRI","Argentina",5,0,"Estonia","Friendlies","friendlies-1"
2022-09-24,"FRI","Argentina",3,0,"Honduras","Friendlies","friendlies-1"
2022-09-28,"FRI","Argentina",3,0,"Jamaica","Friendlies","friendlies-1"
2019-09-11,"FRI","Argentina",4,0,"Mexico","Friendlies","friendlies-1"
2019-06-08,"FRI","Argentina",5,1,"Nicaragua","Friendlies","friendlies-1"
2019-06-20,"COA","Argentina",1,1,"Paraguay","Copa America","group-stage"
2021-06-22,"COA","Argentina",1,0,"Paraguay","Copa America","group-stage"
2020-11-13,"WQS","Argentina",1,1,"Paraguay","WC Qualification South America","1st-round"
2021-10-15,"WQS","Argentina",1,0,"Peru","WC Qualification South America","1st-round"
2021-06-19,"COA","Argentina",1,0,"Uruguay","Copa America","group-stage"
2019-11-18,"FRI","Argentina",2,2,"Uruguay","Friendlies","friendlies-1"
2021-10-11,"WQS","Argentina",3,0,"Uruguay","WC Qualification South America","1st-round"
2019-03-22,"FRI","Argentina",1,3,"Venezuela","Friendlies","friendlies-1"
2022-03-26,"WQS","Argentina",3,0,"Venezuela","WC Qualification South America","1st-round"
2019-09-08,"ECQ","Armenia",4,2,"Bosnia-Herzegovina","EC Qualification","qualifying-round"
2020-09-08,"UNL","Armenia",2,0,"Estonia","UEFA Nations League","league-c"
2019-03-26,"ECQ","Armenia",0,2,"Finland","EC Qualification","qualifying-round"
2020-10-11,"UNL","Armenia",2,2,"Georgia","UEFA Nations League","league-c"
2021-11-14,"WQE","Armenia",1,4,"Germany","WC Qualification Europe","1st-round"
2019-11-15,"ECQ","Armenia",0,1,"Greece","EC Qualification","qualifying-round"
2021-03-28,"WQE","Armenia",2,0,"Iceland","WC Qualification Europe","1st-round"
2019-09-05,"ECQ","Armenia",1,3,"Italy","EC Qualification","qualifying-round"
2019-06-08,"ECQ","Armenia",3,0,"Liechtenstein","EC Qualification","qualifying-round"
2021-09-08,"WQE","Armenia",1,1,"Liechtenstein","WC Qualification Europe","1st-round"
2022-03-24,"FRI","Armenia",1,0,"Montenegro","Friendlies","friendlies-2"
2020-11-18,"UNL","Armenia",1,0,"North Macedonia","UEFA Nations League","league-c"
2021-11-11,"WQE","Armenia",0,5,"North Macedonia","WC Qualification Europe","1st-round"
2022-06-04,"UNL","Armenia",1,0,"Republic of Ireland","UEFA Nations League","league-b"
2021-03-31,"WQE","Armenia",3,2,"Romania","WC Qualification Europe","1st-round"
2022-06-14,"UNL","Armenia",1,4,"Scotland","UEFA Nations League","league-b"
2022-09-24,"UNL","Armenia",0,5,"Ukraine","UEFA Nations League","league-b"
2019-11-19,"CNL","Aruba",2,3,"Antigua and Barbuda","Concacaf Nations League","league-b"
2021-06-06,"WQC","Aruba",0,7,"Canada","WC Qualification Concacaf","4th-round"
2019-09-07,"CNL","Aruba",0,1,"Guyana","Concacaf Nations League","league-b"
2019-10-16,"CNL","Aruba",0,6,"Jamaica","Concacaf Nations League","league-b"
2022-06-07,"CNL","Aruba",3,0,"Saint Martin","Concacaf Nations League","league-c"
2022-06-10,"CNL","Aruba",2,3,"St. Kitts and Nevis","Concacaf Nations League","league-c"
2021-03-28,"WQC","Aruba",0,6,"Suriname","WC Qualification Concacaf","4th-round"
2021-09-02,"WQA","Australia",3,0,"China PR","WC Qualification Asia","3rd-round"
2021-06-07,"WQA","Australia",5,1,"Chinese Taipei","WC Qualification Asia","2nd-round"
2022-03-24,"WQA","Australia",0,2,"Japan","WC Qualification Asia","3rd-round"
2019-01-06,"AAC","Australia",0,1,"Jordan","AFC Asian Cup","group-stage"
2022-06-01,"FRI","Australia",2,1,"Jordan","Friendlies","friendlies-1"
2021-06-15,"WQA","Australia",1,0,"Jordan","WC Qualification Asia","2nd-round"
2021-06-03,"WQA","Australia",3,0,"Kuwait","WC Qualification Asia","2nd-round"
2019-10-10,"WQA","Australia",5,0,"Nepal","WC Qualification Asia","2nd-round"
2022-09-22,"FRI","Australia",1,0,"New Zealand","Friendlies","friendlies-1"
2018-12-30,"NOF","Australia",5,0,"Oman","Non-FIFA Friendlies","friendlies-1"
2021-10-07,"WQA","Australia",3,1,"Oman","WC Qualification Asia","3rd-round"
2022-06-13,"WQI","Australia",0,0,"Peru","WC Qualification Intercontinental Play-offs","finals"
2021-11-11,"WQA","Australia",0,0,"Saudi Arabia","WC Qualification Asia","3rd-round"
2019-01-15,"AAC","Australia",3,2,"Syria","AFC Asian Cup","group-stage"
2019-01-21,"AAC","Australia",0,0,"Uzbekistan","AFC Asian Cup","8th-finals"
2022-01-27,"WQA","Australia",4,0,"Vietnam","WC Qualification Asia","3rd-round"
2022-09-25,"UNL","Austria",1,3,"Croatia","UEFA Nations League","league-a"
2022-06-06,"UNL","Austria",1,2,"Denmark","UEFA Nations League","league-a"
2021-03-31,"WQE","Austria",0,4,"Denmark","WC Qualification Europe","1st-round"
2021-03-28,"WQE","Austria",3,1,"Faroe Islands","WC Qualification Europe","1st-round"
2022-06-10,"UNL","Austria",1,1,"France","UEFA Nations League","league-a"
2020-10-07,"FRI","Austria",2,1,"Greece","Friendlies","friendlies-1"
2019-10-10,"ECQ","Austria",3,1,"Israel","EC Qualification","qualifying-round"
2021-11-12,"WQE","Austria",4,2,"Israel","WC Qualification Europe","1st-round"
2019-09-06,"ECQ","Austria",6,0,"Latvia","EC Qualification","qualifying-round"
2019-11-16,"ECQ","Austria",2,1,"North Macedonia","EC Qualification","qualifying-round"
2021-06-13,"EUC","Austria",3,1,"North Macedonia","European Championship","group-stage"
2020-11-15,"UNL","Austria",2,1,"Northern Ireland","UEFA Nations League","league-b"
2020-11-18,"UNL","Austria",1,1,"Norway","UEFA Nations League","league-b"
2019-03-21,"ECQ","Austria",0,1,"Poland","EC Qualification","qualifying-round"
2020-09-07,"UNL","Austria",2,3,"Romania","UEFA Nations League","league-b"
2022-03-29,"FRI","Austria",2,2,"Scotland","Friendlies","friendlies-1"
2021-09-07,"WQE","Austria",0,1,"Scotland","WC Qualification Europe","1st-round"
2021-06-06,"FRI","Austria",0,0,"Slovakia","Friendlies","friendlies-1"
2019-06-07,"ECQ","Austria",1,0,"Slovenia","EC Qualification","qualifying-round"
2022-06-13,"UNL","Azerbaijan",2,0,"Belarus","UEFA Nations League","league-c"
2019-09-09,"ECQ","Azerbaijan",1,1,"Croatia","EC Qualification","qualifying-round"
2020-10-13,"UNL","Azerbaijan",0,0,"Cyprus","UEFA Nations League","league-c"
2019-06-08,"ECQ","Azerbaijan",1,3,"Hungary","EC Qualification","qualifying-round"
2022-09-25,"UNL","Azerbaijan",3,0,"Kazakhstan","UEFA Nations League","league-c"
2022-03-29,"FRI","Azerbaijan",0,1,"Latvia","Friendlies","friendlies-2"
2019-03-25,"FRI","Azerbaijan",0,0,"Lithuania","Friendlies","friendlies-2"
2020-09-05,"UNL","Azerbaijan",1,2,"Luxembourg","UEFA Nations League","league-c"
2021-11-11,"WQE","Azerbaijan",1,3,"Luxembourg","WC Qualification Europe","1st-round"
2020-11-14,"UNL","Azerbaijan",0,0,"Montenegro","UEFA Nations League","league-c"
2021-09-07,"WQE","Azerbaijan",0,3,"Portugal","WC Qualification Europe","1st-round"
2021-11-14,"FRI","Azerbaijan",2,2,"Qatar","Friendlies","friendlies-1"
2021-10-09,"WQE","Azerbaijan",0,3,"Republic of Ireland","WC Qualification Europe","1st-round"
2021-03-30,"WQE","Azerbaijan",1,2,"Serbia","WC Qualification Europe","1st-round"
2019-06-11,"ECQ","Azerbaijan",1,5,"Slovakia","EC Qualification","qualifying-round"
2022-06-10,"UNL","Azerbaijan",0,1,"Slovakia","UEFA Nations League","league-c"
2019-11-16,"ECQ","Azerbaijan",0,2,"Wales","EC Qualification","qualifying-round"
2019-11-15,"CNL","Bahamas",3,0,"British Virgin Islands","Concacaf Nations League","league-c"
2022-06-10,"CNL","Bahamas",0,2,"Nicaragua","Concacaf Nations League","league-b"
2021-03-28,"WQC","Bahamas",0,4,"St. Kitts and Nevis","WC Qualification Concacaf","4th-round"
2022-06-03,"CNL","Bahamas",1,0,"St. Vincent / Grenadines","Concacaf Nations League","league-b"
2021-06-05,"WQC","Bahamas",0,0,"Trinidad and Tobago","WC Qualification Concacaf","4th-round"
2019-03-17,"FRI","Bahamas",6,1,"Turks and Caicos Islands","Friendlies","friendlies-2"
2022-05-14,"FRI","Bahamas",1,2,"Turks and Caicos Islands","Friendlies","friendlies-2"
2019-10-09,"FRI","Bahrain",2,3,"Azerbaijan","Friendlies","friendlies-2"
2022-06-08,"ACQ","Bahrain",2,0,"Bangladesh","Asian Cup Qualification","3rd-round"
2022-03-29,"FRI","Bahrain",0,1,"Belarus","Friendlies","friendlies-2"
2022-03-26,"FRI","Bahrain",1,0,"Burundi","Friendlies","friendlies-3"
2022-09-23,"FRI","Bahrain",1,2,"Cabo Verde","Friendlies","friendlies-3"
2021-06-03,"WQA","Bahrain",8,0,"Cambodia","WC Qualification Asia","2nd-round"
2022-11-11,"FRI","Bahrain",2,2,"Canada","Friendlies","friendlies-1"
2021-10-06,"FRI","Bahrain",4,0,"Curaçao","Friendlies","friendlies-2"
2021-09-01,"FRI","Bahrain",6,1,"Haiti","Friendlies","friendlies-2"
2021-06-15,"WQA","Bahrain",4,0,"Hong Kong","WC Qualification Asia","2nd-round"
2022-03-23,"FRI","Bahrain",2,1,"India","Friendlies","friendlies-2"
2019-10-15,"WQA","Bahrain",1,0,"Iran","WC Qualification Asia","2nd-round"
2021-12-03,"ARC","Bahrain",0,0,"Iraq","Arab Cup","group-stage"
2019-09-05,"WQA","Bahrain",1,1,"Iraq","WC Qualification Asia","2nd-round"
2021-09-07,"FRI","Bahrain",1,2,"Jordan","Friendlies","friendlies-3"
2018-12-29,"FRI","Bahrain",4,0,"Korea DPR","Friendlies","friendlies-3"
2021-06-25,"ARC","Bahrain",2,0,"Kuwait","Arab Cup","qualifying-round"
2021-11-16,"FRI","Bahrain",4,2,"Kyrgyz Republic","Friendlies","friendlies-3"
2018-12-27,"FRI","Bahrain",1,0,"Lebanon","Friendlies","friendlies-3"
2021-05-28,"FRI","Bahrain",2,0,"Malaysia","Friendlies","friendlies-3"
2022-05-27,"FRI","Bahrain",2,0,"Myanmar","Friendlies","friendlies-3"
2021-10-12,"FRI","Bahrain",0,1,"New Zealand","Friendlies","friendlies-2"
2022-09-27,"FRI","Bahrain",0,2,"Panama","Friendlies","friendlies-1"
2019-12-08,"GCO","Bahrain",1,0,"Saudi Arabia","Gulf Cup of Nations","final"
2019-11-30,"GCO","Bahrain",0,2,"Saudi Arabia","Gulf Cup of Nations","group-stage"
2019-08-07,"WAC","Bahrain",0,0,"Saudi Arabia","WAFF Championship","group-stage"
2018-12-20,"FRI","Bahrain",5,0,"Tajikistan","Friendlies","friendlies-3"
2020-11-07,"FRI","Bahrain",1,0,"Tajikistan","Friendlies","friendlies-3"
2019-01-10,"AAC","Bahrain",0,1,"Thailand","AFC Asian Cup","group-stage"
2022-06-14,"ACQ","Bahrain",1,0,"Turkmenistan","Asian Cup Qualification","3rd-round"
2022-01-27,"FRI","Bahrain",3,1,"Uganda","Friendlies","friendlies-3"
2021-06-03,"WQA","Bangladesh",1,1,"Afghanistan","WC Qualification Asia","2nd-round"
2019-10-03,"FRI","Bangladesh",2,0,"Bhutan","Friendlies","friendlies-3"
2020-01-23,"BGC","Bangladesh",0,3,"Burundi","Bangabandhu Gold Cup","semi-finals"
2021-10-04,"SAC","Bangladesh",1,1,"India","SAFF Championship","group-stage"
2021-06-07,"WQA","Bangladesh",0,2,"India","WC Qualification Asia","2nd-round"
2019-06-11,"WQA","Bangladesh",0,0,"Laos","WC Qualification Asia","1st-round"
2022-03-29,"FRI","Bangladesh",0,0,"Mongolia","Friendlies","friendlies-3"
2020-11-17,"FRI","Bangladesh",0,0,"Nepal","Friendlies","friendlies-3"
2021-10-13,"SAC","Bangladesh",1,1,"Nepal","SAFF Championship","group-stage"
2021-06-15,"WQA","Bangladesh",0,3,"Oman","WC Qualification Asia","2nd-round"
2020-01-15,"BGC","Bangladesh",0,2,"Palestine","Bangabandhu Gold Cup","group-stage"
2021-09-05,"FRI","Bangladesh",0,2,"Palestine","Friendlies","friendlies-3"
2019-10-10,"WQA","Bangladesh",0,2,"Qatar","WC Qualification Asia","2nd-round"
2022-06-11,"ACQ","Bangladesh",1,2,"Turkmenistan","Asian Cup Qualification","3rd-round"
2021-03-31,"WQC","Barbados",1,0,"Anguilla","WC Qualification Concacaf","4th-round"
2022-06-03,"CNL","Barbados",0,1,"Antigua and Barbuda","Concacaf Nations League","league-b"
2020-01-11,"FRI","Barbados",1,4,"Canada","Friendlies","friendlies-1"
2019-11-20,"CNL","Barbados",3,0,"Cayman Islands","Concacaf Nations League","league-c"
2021-06-09,"WQC","Barbados",1,1,"Dominica","WC Qualification Concacaf","4th-round"
2022-06-10,"CNL","Barbados",0,1,"Guadeloupe","Concacaf Nations League","league-b"
2019-03-25,"CNL","Barbados",0,1,"Nicaragua","Concacaf Nations League Qualification","regular-season"
2019-09-06,"CNL","Barbados",4,0,"Saint Martin","Concacaf Nations League","league-c"
2019-10-13,"CNL","Barbados",1,0,"US Virgin Islands","Concacaf Nations League","league-c"
2020-09-04,"UNL","Belarus",0,2,"Albania","UEFA Nations League","league-c"
2021-06-02,"FRI","Belarus",1,2,"Azerbaijan","Friendlies","friendlies-2"
2022-06-06,"UNL","Belarus",0,0,"Azerbaijan","UEFA Nations League","league-c"
2021-09-08,"WQE","Belarus",0,1,"Belgium","WC Qualification Europe","1st-round"
2021-10-11,"WQE","Belarus",0,2,"Czech Republic","WC Qualification Europe","1st-round"
2019-10-10,"ECQ","Belarus",0,0,"Estonia","EC Qualification","qualifying-round"
2021-03-27,"WQE","Belarus",4,2,"Estonia","WC Qualification Europe","1st-round"
2019-06-08,"ECQ","Belarus",0,2,"Germany","EC Qualification","qualifying-round"
2021-03-24,"FRI","Belarus",1,1,"Honduras","Friendlies","friendlies-1"
2021-11-16,"FRI","Belarus",1,0,"Jordan","Friendlies","friendlies-2"
2020-10-14,"UNL","Belarus",2,0,"Kazakhstan","UEFA Nations League","league-c"
2022-06-10,"UNL","Belarus",1,1,"Kazakhstan","UEFA Nations League","league-c"
2020-11-15,"UNL","Belarus",2,0,"Lithuania","UEFA Nations League","league-c"
2019-10-13,"ECQ","Belarus",1,2,"Netherlands","EC Qualification","qualifying-round"
2019-06-11,"ECQ","Belarus",0,1,"Northern Ireland","EC Qualification","qualifying-round"
2022-06-03,"UNL","Belarus",0,1,"Slovakia","UEFA Nations League","league-c"
2021-09-05,"WQE","Belarus",2,3,"Wales","WC Qualification Europe","1st-round"
2021-03-30,"WQE","Belgium",8,0,"Belarus","WC Qualification Europe","1st-round"
2022-03-29,"FRI","Belgium",3,0,"Burkina Faso","Friendlies","friendlies-1"
2021-06-06,"FRI","Belgium",1,0,"Croatia","Friendlies","friendlies-1"
2019-11-19,"ECQ","Belgium",6,1,"Cyprus","EC Qualification","qualifying-round"
2021-09-05,"WQE","Belgium",3,0,"Czech Republic","WC Qualification Europe","1st-round"
2020-10-08,"FRI","Belgium",1,1,"Côte d'Ivoire","Friendlies","friendlies-1"
2020-11-18,"UNL","Belgium",4,2,"Denmark","UEFA Nations League","league-a"
2020-11-15,"UNL","Belgium",2,0,"England","UEFA Nations League","league-a"
2021-11-13,"WQE","Belgium",3,1,"Estonia","WC Qualification Europe","1st-round"
2021-10-07,"UNL","Belgium",2,3,"France","UEFA Nations League","semi-finals"
2021-06-03,"FRI","Belgium",1,1,"Greece","Friendlies","friendlies-1"
2020-09-08,"UNL","Belgium",5,1,"Iceland","UEFA Nations League","league-a"
2021-07-02,"EUC","Belgium",1,2,"Italy","European Championship","quarter-finals"
2019-06-08,"ECQ","Belgium",3,0,"Kazakhstan","EC Qualification","qualifying-round"
2022-06-03,"UNL","Belgium",1,4,"Netherlands","UEFA Nations League","league-a"
2022-06-08,"UNL","Belgium",6,1,"Poland","UEFA Nations League","league-a"
2021-06-27,"EUC","Belgium",1,0,"Portugal","European Championship","8th-finals"
2019-03-21,"ECQ","Belgium",3,1,"Russia","EC Qualification","qualifying-round"
2021-06-12,"EUC","Belgium",3,0,"Russia","European Championship","group-stage"
2019-10-10,"ECQ","Belgium",9,0,"San Marino","EC Qualification","qualifying-round"
2019-06-11,"ECQ","Belgium",3,0,"Scotland","EC Qualification","qualifying-round"
2020-11-11,"FRI","Belgium",2,1,"Switzerland","Friendlies","friendlies-1"
2022-09-22,"UNL","Belgium",2,1,"Wales","UEFA Nations League","league-a"
2021-03-24,"WQE","Belgium",3,1,"Wales","WC Qualification Europe","1st-round"
2022-03-28,"FRI","Belize",0,3,"Cuba","Friendlies","friendlies-2"
2022-06-03,"CNL","Belize",0,2,"Dominican Republic","Concacaf Nations League","league-b"
2019-11-15,"CNL","Belize",2,0,"French Guiana","Concacaf Nations League","league-b"
2022-06-10,"CNL","Belize",1,1,"French Guiana","Concacaf Nations League","league-b"
2019-09-09,"CNL","Belize",1,2,"Grenada","Concacaf Nations League","league-b"
2019-10-11,"CNL","Belize",0,4,"St. Kitts and Nevis","Concacaf Nations League","league-b"
2019-09-02,"FRI","Belize",1,0,"St. Vincent / Grenadines","Friendlies","friendlies-2"
2021-03-30,"WQC","Belize",5,0,"Turks and Caicos Islands","WC Qualification Concacaf","4th-round"
2019-07-02,"ACO","Benin",0,0,"Cameroon","Africa Cup of Nations","group-stage"
2021-09-06,"WQA","Benin",1,1,"Congo DR","WC Qualification Africa","2nd-round"
2022-07-30,"ANC","Benin",0,1,"Ghana","African Nations Championship Qualification","1st-round"
2019-06-11,"FRI","Benin",1,0,"Guinea","Friendlies","friendlies-3"
2019-06-29,"ACO","Benin",0,0,"Guinea-Bissau","Africa Cup of Nations","group-stage"
2020-11-14,"ACO","Benin",1,0,"Lesotho","Africa Cup of Nations Qualification","group-stage"
2021-11-11,"WQA","Benin",2,0,"Madagascar","WC Qualification Africa","2nd-round"
2019-06-18,"FRI","Benin",3,1,"Mauritania","Friendlies","friendlies-3"
2022-06-08,"ACO","Benin",0,1,"Mozambique","Africa Cup of Nations Qualification","group-stage"
2021-03-27,"ACO","Benin",0,1,"Nigeria","Africa Cup of Nations Qualification","group-stage"
2019-11-17,"ACO","Benin",1,0,"Sierra Leone","Africa Cup of Nations Qualification","group-stage"
2021-10-10,"WQA","Benin",0,1,"Tanzania","WC Qualification Africa","2nd-round"
2019-03-24,"ACO","Benin",2,1,"Togo","Africa Cup of Nations Qualification","group-stage"
2019-07-28,"ANC","Benin",0,0,"Togo","African Nations Championship","1st-round"
2019-10-13,"FRI","Benin",2,2,"Zambia","Friendlies","friendlies-3"
2021-06-08,"FRI","Benin",2,2,"Zambia","Friendlies","friendlies-1"
2021-03-31,"WQC","Bermuda",5,0,"Aruba","WC Qualification Concacaf","4th-round"
2021-07-03,"CGC","Bermuda",8,1,"Barbados","Concacaf Gold Cup Qualification","1st-preliminary-round"
2021-06-09,"WQC","Bermuda",1,1,"Cayman Islands","WC Qualification Concacaf","4th-round"
2019-10-16,"FRI","Bermuda",0,0,"Guatemala","Friendlies","friendlies-2"
2019-06-07,"FRI","Bermuda",1,0,"Guyana","Friendlies","friendlies-2"
2022-06-04,"CNL","Bermuda",0,0,"Haiti","Concacaf Nations League","league-b"
2019-10-12,"CNL","Bermuda",1,5,"Mexico","Concacaf Nations League","league-a"
2022-06-15,"CNL","Bermuda",3,0,"Montserrat","Concacaf Nations League","league-b"
